species_name,itrdb_species_code,wood_type,leaf_habit,tree_ring_structure
Populus fremontii Wats.,PPFR,,,
Populus grandidentata Michx.,PPGR,,,
Populus nigra L.,PPNI,,,
Populus sieboldii Miq.,PPSI,,,
Populus tremuloides Michx.,PPTR,,,
Populus trichocarpa Torr. & Gray.,PPTC,,,
Premna maxima T.C.E. Fries,PRMX,,,
Prosopis L.,PROS,,,
Prosopis flexuosa DC.,PRFL,,,
Prosopis glandulosa Torr.,PRGL,,,
Prumnopitys andina = Podocarpus andinus,PMAN,,,
Prumnopitys ferruginea (D. Don) Laubenf.,PMFE,,,
Prumnopitys taxifolia (D. Don) Laubenf.,PMTA,,,
Prunus americana Marsh.,PNAM,,,
Prunus avium L.,PNAV,,,
Prunus ilicifolia (Nutt. ex Hook & Arn.) D. Dietr.,PNIL,,,
Prunus mahaleb L.,PNMA,,,
Prunus pennsylvanica L.f.,PNPE,,,
Prunus serotina Ehrh.,PNSE,,,
Prunus spinosa Ehrh.,PNSP,,,
Pseudobombax munguba Mart. & Zucc.,PSMU,,,
Pseudobombax septenatum (Jacq.) Dugand,PSSE,,,
Pseudotsuga japonica (Shirasawa) Beissn.,PSJA,,,
Pseudotsuga macrocarpa (Vasey) Mayr,PSMA,,,
Pseudotsuga menziesii (Mirb.) Franco,PSME,gymnosperm,evergreen,conifer
Pseudowintera axillaris (Forster & Forster f.) Dandy,PSAX,,,
Pseudowintera colorata (Raoul) Dandy,PSCO,,,
Pseudoxandra polyphleba (Diels) R.E. Fr.,PSXA,,,
Pterocarpus angolensis DC.,PTAN,,,
Pterocarpus vernalis Pittier,PTVE,,,
Pterocarya rhoifolia Sieb. & Zucc.,PTRH,,,
Pteronia pallens DC.,PTPA,,,
Purshia DC. ex Poir.,PUSP,,,
Purshia tridentata (Pursh) DC.,PUTR,,,
Quercus L.,QUSP,,,
Quercus acutissima Carruth.,QUAC,,,
Quercus afares Pomel,QUAF,,,
Quercus alba L.,QUAL,,,
Quercus bicolor Willd.,QUBI,,,
Quercus boissieri Reut.,QUBO,angiosperm,deciduous,ring-porous
Quercus brantii Lindley,QUBR,,,
Quercus calliprinos Webb,QUCL,,,
Quercus canariensis Willd.,QUCA,,,
Quercus cerris L.,QUCE,,,
Quercus coccinea Muenchh.,QUCO,,,
Quercus copeyensis,QUCP,,,
Quercus costaricensis,QUCR,,,
Quercus dentata Thunb.,QUDE,,,
Quercus douglasii Hook. and Arn.,QUDG,,,
Quercus dschoruchensis K. Koch,QUDS,,,
Quercus ellipsoidalis E.J. Hill,QUEL,,,
Quercus emoryi Torr. in Emory,QUEM,,,
Quercus engelmannii Greene,QUEN,,,
Quercus faginea Lam.,QUFG,,,
Quercus falcata Michx.,QUFA,,,
Quercus frainetto Ten.,QUFR,,,
Quercus gambelii Nutt.,QUGA,,,
Quercus garryana Dougl. ex Hook,QUGY,,,
Quercus grisea Liebm.,QUGR,,,
Quercus hartwissiana Steven,QUHA,,,
Quercus ilex L.,QUIL,,,
Quercus ithaburensis (Decne.) Boiss.,QUIT,angiosperm,deciduous,ring-porous
Quercus kelloggii Newb.,QUKE,,,
Quercus laurifolia Michx.,QULA,,,
Quercus lobata Nee,QULO,,,
Quercus lusitanica Lam.,QULU,,,
Quercus lyrata Walt.,QULY,,,
Quercus macrocarpa Michx.,QUMA,,,
Quercus macrolepis Kotschy,QUMC,,,
Quercus marilandica Muenchh.,QUML,,,
Quercus michauxii Walt.,QUMI,,,
Quercus mongolica Fisch. ex Turcz.,QUMO,,,
Quercus mongolica var. grosseserrata (Bulme) Rehd. & Wils.,QUGS,,,
Quercus muehlenbergii Engelm.,QUMU,,,
Quercus nigra L.,QUNI,,,
Quercus palustris Muenchh.,QUPA,,,
Quercus petraea (Mattuschka) Liebl.,QUPE,angiosperm,deciduous,ring-porous
Quercus pontica K. Koch,QUPO,,,
Quercus prinus L.,QUPR,,,
Quercus pubescens Willd.,QUPU,angiosperm,deciduous,ring-porous
Quercus pyrenaica Willd.,QUPY,angiosperm,deciduous,ring-porous
Quercus robur L.,QURO,angiosperm,deciduous,ring-porous
Quercus rubra L.,QURU,,,
Quercus shumardii Buckl.,QUSH,,,
Quercus stellata Wangenh.,QUST,,,
Quercus suber L.,QUSU,,,
Quercus velutina Lam.,QUVE,,,
Quintinia acutifolia Kirk.,QUAC,,,
Rapanea guianensis Aubl.,RAGU,,,
Recordoxylon speciosum Normand & Mariaux,RESP,,,
Rhamnus caroliniana Walt.,RHCA,,,
Rhamnus cathartica L.,RHCT,,,
Rhamnus crocea Nutt.,RHCR,,,
Rhus ovata Wats.,RHOV,,,
Robinia neomexicana Gray,RONE,,,
Robinia pseudoacacia L.,ROPS,,,
Sabina pingu,SBPI,,,
Sabina recurva,SBRE,,,
Sabina saltuaria,SBSA,,,
Sabina tibetica,SBTI,,,
Sabina wallichiana,SBWA,,,
Salix L.,SASP,,,
Salix acutifolia Willd.,SAAC,,,
Salix alba L.,SAAL,,,
Salix amygdalina L.,SAAM,,,
Salix amygdaloides Anderss.,SAAD,,,
Salix arbusculoides Anderss.,SAAR,,,
Salix arctica Pall.,SAAT,,,
Salix babylonica L.,SABA,,,
Salix candida Fluegge,SACN,,,
Salix caprea L.,SACA,,,
Salix caroliniana Michx.,SACR,,,
Salix discolor Muhl.,SADI,,,
Salix elaeagnos Scop.,SAEL,,,
Salix exigua Nutt.,SAEX,,,
Salix glauca L.,SAGL,,,
Salix lanata L.,SALA,,,
Salix lasiolepis Benth.,SALS,,,
Salix myrsinifolia Salisb.,SAMY,,,
Salix phylicifolia L.,SAPH,,,
Salix planifolia Pursh,SAPL,,,
Salix purpurea L.,SAPU,,,
Salix viminalis L.,SAVI,,,
Santalum album L.,SNAL,,,
Sassafras albinum (Nutt.) Nees,SSAL,,,
Sapium styllare Muell. Arg.,SSAL,,,
Saxegothaea conspicua Lindl.,SACO,,,
Schleichera trijuga Willd.,SCTR,,,
Schleronema micranthum Ducke.,SCMI,,,
Sciadopitys verticillata (Thunb.) Sieb. & Zucc.,SCVE,,,
Sequoia sempervirens (D. Don) Endl.,SESE,,,
Sequoiadendron giganteum (Lindl.) Buchholz giant sequoia,SEGI,,,
Shorea robusta Gaertn.f.,SHRO,,,
Simarouba amara Aubl.,SIAM,,,
Sorbus americana Marsh.,SOAM,,,
Sorbus aria (L.) Crantz,SOAR,,,
Sorbus aucuparia L.,SOAU,,,
Sorbus torminalis (L.) Crantz,SOTE,,,
Sorocea duckei W.C. Burger,SODU,,,
Stuartia pseudocamelliad var.,STPS,,,
Swartzia laevicarpa Amsh.,SWLA,,,
Swietenia macrophylla King,SWMC,,,
Swietenia mahagoni Jacq.,SWMA,,,
Symphonia globulifera L.F.,SYGL,,,
Tabebuia barbata (E. Mey) Sandw.,TABA,,,
Tamarix aphylla Lanza,TMAP,,,
Tamarix chinensis Lour.,TMCH,,,
Tamarix jordanis,TMJO,,,
Tapirira guianensis Aubl.,TPGU,,,
Tasmannia xerophila M. Gray,TMXE,,,
Taxodium ascendens Brong.,TAAS,,,
Taxodium distichum (L.) Rich.,TADI,,,
Taxodium mucronatum Ten.,TAMU,,,
Taxus baccata L.,TABA,,,
Taxus cuspidata Sieb. & Zucc.,TACU,,,
Tectona grandis L. f.,TEGR,,,
Terminalia brownii,TEBR,,,
Terminalia guianensis Aubl.,TEGU,,,
Terminalia tomentosa W. & A.,TETO,,,
Tetraclinis articulata (Vahl) Mast.,TEAR,,,
Thuja L.,THSP,,,
Thuja occidentalis L.,THOC,,,
Thuja orientalis L.,THOR,,,
Thuja plicata Donn ex D. Don,THPL,,,
Thuja standishii (Gord.) Carr.,THST,,,
Thujopsis dolabrata (L.f.) Sieb. & Zucc.,THDO,,,
Thujopsis dolabrata var. hondai Makino,THHO,,,
Tilia L.,TISP,,,
Tilia americana L.,TIAM,,,
Tilia cordata Mill.,TICO,,,
Tilia platyphyllos Scop.,TIPL,,,
Torreya californica Torrey,TOCA,,,
Triplochiton schleroxylon K. Schum.,TRSC,,,
Tristania conferta R.Br.,TRCO,,,
Tsuga Carr.,TSSP,,,
Tsuga canadensis (L.) Carr.,TSCA,,,
Tsuga caroliniana Engelm.,TSCR,,,
Tsuga chinensis (Franch.) Pritz.,TSCH,,,
Tsuga diversifolia (Maxim.) Mast.,TSDI,,,
Tsuga dumosa (D.Don) Eichl.,TSDU,,,
Tsuga heterophylla (Raf.) Sarg.,TSHE,,,
Tsuga mertensiana (Bong.) Carr.,TSME,,,
Tsuga sieboldii Carr.,TSSI,,,
Ulmus L.,ULSP,,,
Ulmus glabra Hudson,ULGL,,,
Ulmus laevis Pall.,ULLA,,,
Ulmus minor Mill.,ULMI,,,
Ulmus pumila L.,ULPU,,,
Ulmus rubra Muhl.,ULRU,,,
Vibernum lantana L.,VBLA,,,
Virola melinonii A.C. Smith,VIME,,,
Vitex keniensis Turr,VIKE,,,
Vouacapoua americana Aubl.,VOAM,,,
Weinmannia racemosa L.f.,WERA,,,
Weinmannia trichosperma Cav.,WETR,,,
Widdringtonia cedarbergensis J.A. Marsh,WICE,,,
Ziziphus spina-christi,ZISP,,,
Zygophyllum L.,ZYSP,,,
Zygophyllum dumosum Boiss.,ZYDU,,,
